name,email,investigationGroup,thesisName,thesisDate,professor
Francisco Carreira,fmbcarreira@gmail.com,AC,cona master,2021,Luis Cordeiro
Carlos Jordão,jordao@email.com,AC,"Fiding the location of Ganza",2023,Paulo Simões
João Lourenço,lourenco@email.com,CMS,"Driving Home for Christmas",2023,Penousal Machado
Rodrigo Machado, rodrigo@email.com,CMS,"State of The Art Compression",2021,Luis Cordeiro
Inês Fonseca,fonseca@email.com,CMS,"Feliz Navidad",2022,Jorge Henriques
João Marques,marques@email.com,ECOS,"Stop The World I Wanna Get Off With You",2023,Marilia Cordeiro
Jonas Rua,rua@gmail.com,ECOS,"Happy Thesis",2020,Marilia Cordeiro
João Vaz, vaz@email.com,ECOS,"Being Manco and Playing Basketball",2021,Licínio Roque
Gonçalo Folhas, folhas@email.com,IS,"Hoops and saying yo",2022,Licínio Roque
David Leitão,leitao@email.com,LCT,"Putas and White Wine",2073,Paulo Simões
Guilherme Junqueira,guillos@email.com,SSE,"Being Black in Entroncamento",2021,Henrique Madeira
